Course ID,Course Code,Course Title,Grade,Course Type,Prerequisite,Credit Value,Course Description,Units Overview,Assessment Breakdown
BAF3M,,,,,,,,,
BBB4M,,,,,,,,,
BDV4C,,,,,,,,,
BEM1O,,,,,,,,,
BEP2O,,,,,,,,,
BOH4M,,,,,,,,,
ENG1D,ENG1D,"English 9, Academic (ENG1D)",9,Academic,None,1,"This course is designed to develop the oral communication, reading, writing, and media literacy skills that students need for success in their secondary school academic programs and in their daily lives. Students will analyse literary texts from contemporary and historical periods, interpret informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on the use of strategies that contribute to effective communication. The course is intended to prepare students for the Grade 10 academic English course, which leads to university or college preparation courses in Grades 11 and 12.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Oral Communication""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Reading and Literature Studies""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Writing""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Media Studies""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""Category Weights"":{""mapValue"":{""fields"":{""Application"":{""stringValue"":""25%""},""Thinking"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""}}}},""termPercentage"":{""integerValue"":""70""},""finalAssessmentPercentage"":{""integerValue"":""30""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}}}}"
ENG2D,ENG2D," English 10, Academic (ENG2D)",10,Academic,ENG1D,1,"This course is designed to extend the range of oral communication, reading, writing, and media literacy skills that students need for success in their secondary school academic programs and in their daily lives. Students will analyse literary texts from contemporary and historical periods, interpret and evaluate informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on the selective use of strategies that contribute to effective communication. This course is intended to prepare students for the compulsory Grade 11 university or college preparation course.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Oral Communication""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Reading and Literature Studies""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Writing""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Media Studies""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""Category Weights"":{""mapValue"":{""fields"":{""Application"":{""stringValue"":""25%""},""Thinking"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Application"":{""stringValue"":""25%""}}}},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""}}}"
ENG3U,ENG4U,"English 11, University (ENG3U)",11,University,ENG2D,1,"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse challenging literary texts from various periods, countries, and cultures, as well as a range of informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on using language with precision and clarity and incorporating stylistic devices appropriately and effectively. The course is intended to prepare students for the compulsory Grade 12 university or college preparation course.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Oral Communication""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Reading and Literature Studies""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Writing""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Media Studies""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""termPercentage"":{""integerValue"":""70""},""finalAssessmentPercentage"":{""integerValue"":""30""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""}}}}}}"
ENG4U,ENG4U," English 12, University (ENG4U)",12,University,ENG3U,1,"This course emphasizes the consolidation of the literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse a range of challenging literary texts from various periods, countries, and cultures; interpret and evaluate informational and graphic texts; and create oral, written, and media texts in a variety of forms. An important focus will be on using academic language coherently and confidently, selecting the reading strategies best suited to particular texts and particular purposes for reading, and developing greater control in writing. The course is intended to prepare students for university, college, or the workplace.","{""values"":[{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""1""},""Title"":{""stringValue"":""Oral Communication""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""2""},""Title"":{""stringValue"":""Reading and Literature Studies""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""3""},""Title"":{""stringValue"":""Writing""},""Time"":{""stringValue"":""25 Hours""}}}},{""mapValue"":{""fields"":{""Unit"":{""integerValue"":""4""},""Title"":{""stringValue"":""Media Studies""},""Time"":{""stringValue"":""25 Hours""}}}}]}","{""fields"":{""finalAssessmentPercentage"":{""integerValue"":""30""},""termPercentage"":{""integerValue"":""70""},""description"":{""stringValue"":""The evaluation for this course is based on the student's achievement of curriculum expectations and the demonstrated skills required for effective learning. The percentage grade represents the quality of the student's overall achievement of the expectations for the course and reflects the corresponding level of achievement as described in the achievement chart for the discipline. A credit is granted and recorded for this course if the student's grade is 50% or higher. The final\ngrade for this course will be determined as follows:""},""Category Weights"":{""mapValue"":{""fields"":{""Thinking"":{""stringValue"":""25%""},""Application"":{""stringValue"":""25%""},""Communication"":{""stringValue"":""25%""},""Knowledge and Understanding"":{""stringValue"":""25%""}}}},""Final Assessment"":{""mapValue"":{""fields"":{""Final Exam"":{""stringValue"":""2 Hours""},""Independent Study Unit"":{""stringValue"":""8 Hours""}}}}}}"
